Track Name,Artists,Genres
Nzara,Stones & Bones; Gino Brown; Ruvimbo,3 step; afro house; afro soul; afro tech; afropop; tribal house
Bahyay,Savej,
Cenizas de Agua,El Búho; Nita,electrocumbia
Zen,Basher Toe,
Lost Beach - Rework 2020 Radio Edit,Jiunaze,organic house
Amen - Anorre Remix,MOLLA; Kobi Marimi; Anorre,afro house; afro tech; melodic techno; tribal house
Oya,Da Le (Havana),afro house; afro tech; latin house; tribal house
Ctrl,Uki,
Boss,Bad Colours,hip house
Rhinocerus,Thornato; Gappy Ranks,dancehall; drum and bass; electrocumbia; jungle; lovers rock; ragga; reggae; roots reggae
KAIROS,Sage 808; Ruby Chase; Equanimous,
Laalach,TroyBoi,edm trap
Dale,TroyBoi,edm trap
Baka,Vandelux,stutter house
Solstice,Savej,
Nova Geração - Guari X dos Flakos Remix,Luny; AKA AFK; Dos Flakos; DJ Guari,ballroom vogue; baltimore club; drill; grime; jersey club; moombahton; neoperreo; uk funky
Rhino,Stas; Skrude; Hataah,bass music; deathstep; dubstep; riddim
Kadawa,Sagi Abitbul; Guy Haliva,psytrance
Stanga - Original Mix,Sagi Abitbul; Guy Haliva,psytrance
Leyenda,Phaxe,progressive trance; psytrance; trance
Roobaai,Dzp,progressive trance; psytrance; trance
Tam Tam - Radio Edit,Sevenn; Bhaskar,brazilian bass; electronic
Namah Shivaya,HBz,
Bulgarian 2020,Dimatik; Zareh Kan; Blackjack,hardstyle; melbourne bounce; minimal techno; psytrance
Idrab - Original Mix,Sagi Abitbul; Soriani; M’Barka Ben Taleb,french jazz; psytrance
LIKE A BOSS,Haterade,edm trap
Kia Kino Nei Hoki feat. Te Kapa Haka o Te Whānau a Apanui,Rob Ruha; Ria Hall; Te Matatini; Te Kapa Haka o Te Whānau a Apanui,nz reggae
The Middle Beast,The Polish Ambassador,
Ghost In A Jar,Lohki,
Mlima,Strolch,downtempo; tribal house
ANA,Omiki; Faders; Dikla Hackmon,afro house; afro tech; melodic techno; progressive trance; psytrance; trance; tribal house
"Desert, Pt.1",KAYAM,
SALAAM - Safar's Scandalous Mix,Enzo Siffredi; BAQABO; SAFAR,afro house; afro tech; electro swing; gnawa; latin house; organic house; tribal house
How I Got Home,SYML,
I Wanna Be Like You (Revamp),KR3TURE; Sea-Ren,
Be Your Love,Bishop Briggs,
Rising Into Light - Live,Chantress Seba,
You're The One That I Want - From “Grease”,John Travolta; Olivia Newton-John,musicals
The Lost Tribe - Mixed,SAFAR,afro house; afro tech; gnawa; organic house; tribal house
Aurora,Deka Sul; The Polish Ambassador,
Beautiful Africa,Betelgeize; AIWAA,downtempo; organic house; tribal house
Faraye,Da Le (Havana); Curol,afro house; afro tech; latin house; tribal house
